sourceRef,destination,evidence
agoda:hotel:vedana-lagoon-wellness-resort-spa:hue,Huế,"interim/agoda_hotels.jsonl: locality=Lăng Cô; street=Phú Lộc; citySlug=hue; tọa độ 16.287516/107.859573; https://www.agoda.com/vi-vn/vedana-lagoon-wellness-resort-spa/hotel/hue-vn.html"
trip:attraction:98753,Phan Thiết,"interim/trip_attractions.jsonl: Đồi cát Hòa Thắng; plan.destination=Phan Thiết; tọa độ 11.070942/108.427653; tỉnh Lâm Đồng không đồng nghĩa Đà Lạt; https://vn.trip.com/travel-guide/attraction/hoa-thang/white-sand-dunes-98753/"
trip:attraction:137170972,Phan Thiết,"interim/trip_attractions.jsonl: Mũi Kê Gà; plan.destination=Phan Thiết; tọa độ 10.695261/107.991560; tỉnh Lâm Đồng không đồng nghĩa Đà Lạt; https://vn.trip.com/travel-guide/attraction/tan-thanh/ke-ga-cape-137170972/"
trip:attraction:95477,Hạ Long,"interim/trip_attractions.jsonl: address=Hạ Long Bay Quảng Ninh; plan.destination=Hạ Long; https://vn.trip.com/travel-guide/attraction/haiphong/ti-top-island-95477/"
trip:attraction:28376898,Hạ Long,"interim/trip_attractions.jsonl: address=Ha Long Bay Halong City Quảng Ninh; plan.destination=Hạ Long; https://vn.trip.com/travel-guide/attraction/haiphong/sung-sot-cave-28376898/"
trip:attraction:95478,Hạ Long,"interim/trip_attractions.jsonl: address=Hòn Gà Chọi tp. Hạ Long Quảng Ninh; plan.destination=Hạ Long; https://vn.trip.com/travel-guide/attraction/haiphong/fighting-cock-islet-95478/"
trip:attraction:55813428,Hạ Long,"interim/trip_attractions.jsonl: Bãi biển Ti Tốp có plan.destination=Hạ Long; tọa độ 20.858210/107.080715 cùng đảo với POI 95477 (Hòn Ti Tốp); https://vn.trip.com/travel-guide/attraction/haiphong/ti-top-beach-55813428/"
trip:attraction:137069524,Hội An,"interim/trip_attractions.jsonl: address=Trần Nhân Tông Cẩm Thanh Hội An Quảng Nam; https://vn.trip.com/travel-guide/attraction/da-nang/hnh-coconut-basket-boat-137069524/"
trip:attraction:84669,Hội An,"interim/trip_attractions.jsonl: name=Phố cổ Hội An; address=Phường Minh An Hội An Quảng Nam; https://vn.trip.com/travel-guide/attraction/da-nang/hoi-an-old-town-84669/"
trip:attraction:50714614,Hội An,"interim/trip_attractions.jsonl: name=Ký Ức Hội An; address=88 Trần Quang Khải phường Hội An thành phố Đà Nẵng; https://vn.trip.com/travel-guide/attraction/da-nang/hoi-an-memories-show-50714614/"
trip:attraction:55836519,Hội An,"interim/trip_attractions.jsonl: name=Đảo Ký ức Hội An; address=Cồn Hến 200 Nguyễn Tri Phương Cẩm Châu Hội An; https://vn.trip.com/travel-guide/attraction/da-nang/hoi-an-memories-land-55836519/"
trip:attraction:50961574,Hội An,"interim/trip_attractions.jsonl: name=VinWonders Nam Hội An; address=Võ Chí Công Bình Minh Thăng Bình Quảng Nam; khớp địa điểm vinwonders-nam-hoi-an trong venues.csv; https://vn.trip.com/travel-guide/attraction/da-nang/vinwonders-nam-hoi-an-50961574/"
trip:attraction:84706,Hội An,"interim/trip_attractions.jsonl: address=Thánh địa Mỹ Sơn Duy Xuyên Quảng Nam; Duy Xuyên/Quảng Nam thuộc nhóm Hội An theo collectors/geo.py; https://vn.trip.com/travel-guide/attraction/da-nang/my-son-sanctuary-84706/"
trip:attraction:134100373,Hội An,"interim/trip_attractions.jsonl: address=Tổ 4 Thôn Vạn Lăng Cẩm Thanh Hội An Quảng Nam; https://vn.trip.com/travel-guide/attraction/da-nang/hacoconut-coconut-basket-boat-134100373/"
