sourceRef,reason,evidence
trip:attraction:143793435,không phải sản phẩm du lịch: văn phòng bảo hiểm,Hanwha Life Việt Nam - SO Huế
trip:attraction:150850532,không phải sản phẩm du lịch: cơ sở y tế,Trung tâm tiêm chủng VNVC Thành Phố Vinh
trip:attraction:136788075,không phải sản phẩm du lịch: hãng taxi,Taxi Quy Nhơn Xanh
trip:attraction:61863803,không phải sản phẩm du lịch: dịch vụ cho thuê xe máy,Xuân Tính Motorbike Rental
trip:attraction:146366942,không phải sản phẩm du lịch: công ty lữ hành,Sapa Sisters
trip:attraction:33112036,không phải sản phẩm du lịch: hãng du thuyền,Bhaya Cruises - The Leading Cruise Operator
trip:attraction:146403890,không phải sản phẩm du lịch: đại lý bán vé chứ không phải địa điểm,Đại lý Vé Nhà hát Đó
trip:attraction:149581146,không phải sản phẩm du lịch: quán cà phê,Safari Cafe
vinpearl:tour:VW00881,mô tả của nguồn thuộc sản phẩm khác,API Vinpearl trả nội dung Bảo Tàng Gấu Teddy Bear cho vé thuyền Water Taxi
vinpearl:tour:VW02393,mô tả của nguồn thuộc sản phẩm khác,API Vinpearl trả nội dung vé vào cửa VinWonders cho vé Fastpass Water Taxi
