key,name,destination,suppliers,aliases,queries,latitude,longitude,status,source,candidate,distanceKm,note,tickets,mapUrl
vinwonders-nha-trang,VinWonders Nha Trang,Nha Trang,NTVW1,vinwonders nha trang|vinpearl land nha trang,VinWonders Nha Trang,12.217049,109.240872,auto,trip.com:23029423,VinWonders Nha Trang (trip.com),6.5,tự tìm qua trip.com; kiểm tra bằng mắt rồi đặt status=ok,36,https://www.google.com/maps/search/?api=1&query=12.217049%2C109.240872
vinpearl-harbour,Vinpearl Harbour Nha Trang,Nha Trang,VPHB1,vinpearl harbour,Vinpearl Harbour Nha Trang|Vinpearl Harbour,12.203295,109.217041,auto,trip.com:100572,Cáp Treo Vinpearl Harbour Nha Trang (trip.com),5.7,tự tìm qua trip.com; kiểm tra bằng mắt rồi đặt status=ok,13,https://www.google.com/maps/search/?api=1&query=12.203295%2C109.217041
hon-tam,Hòn Tằm,Nha Trang,HTVW1,hon tam,Hòn Tằm,12.175891,109.243010,auto,trip.com:23899483,Hòn Tằm (trip.com),9.9,tự tìm qua trip.com; kiểm tra bằng mắt rồi đặt status=ok,14,https://www.google.com/maps/search/?api=1&query=12.175891%2C109.243010
aquafield-nha-trang,Aquafield Nha Trang,Nha Trang,AQF01,aquafield nha trang|jjimjilbang,Aquafield Nha Trang,12.214600,109.240943,auto,osm:N13481775453,Aquafield (leisure=sauna),6.7,tự tìm qua OpenStreetMap; kiểm tra bằng mắt rồi đặt status=ok,11,https://www.google.com/maps/search/?api=1&query=12.214600%2C109.240943
vinpearl-golf-nha-trang,Vinpearl Golf Nha Trang,Nha Trang,,vinpearl golf nha trang,Vinpearl Golf Nha Trang,12.212541,109.259051,auto,osm:W755626827,Vinpearl Golf Nha Trang (leisure=golf_course),8.5,tự tìm qua OpenStreetMap; kiểm tra bằng mắt rồi đặt status=ok,1,https://www.google.com/maps/search/?api=1&query=12.212541%2C109.259051
vinwonders-phu-quoc,VinWonders Phú Quốc,Phú Quốc,PQVW1,vinwonders phu quoc,VinWonders Phú Quốc,10.340735,103.854047,auto,trip.com:18832359,VinWonders Phú Quốc (trip.com),18.0,tự tìm qua trip.com; kiểm tra bằng mắt rồi đặt status=ok,42,https://www.google.com/maps/search/?api=1&query=10.340735%2C103.854047
vinpearl-safari-phu-quoc,Vinpearl Safari Phú Quốc,Phú Quốc,PQSAF,vinpearl safari|safari phu quoc,Vinpearl Safari Phú Quốc|Vinpearl Safari,10.337043,103.891448,auto,trip.com:25487733,Vinpearl Safari Phú Quốc (trip.com),15.3,tự tìm qua trip.com; kiểm tra bằng mắt rồi đặt status=ok,38,https://www.google.com/maps/search/?api=1&query=10.337043%2C103.891448
grand-world-phu-quoc,Grand World Phú Quốc,Phú Quốc,PQGW1,grand world phu quoc,Grand World Phú Quốc,10.328481,103.862952,auto,trip.com:130898816,Grand World Phú Quốc (trip.com),16.3,tự tìm qua trip.com; kiểm tra bằng mắt rồi đặt status=ok,25,https://www.google.com/maps/search/?api=1&query=10.328481%2C103.862952
vinpearl-golf-phu-quoc,Vinpearl Golf Phú Quốc,Phú Quốc,,vinpearl golf phu quoc,Vinpearl Golf Phú Quốc,10.344671342404894,103.8536203163346,ok,manual,Meliá Vinpearl Phu Quoc (building=hotel),19.8,xác minh tay trên Google Maps - Vinpearl Golf Phú Quốc,1,https://www.google.com/maps/search/?api=1&query=10.344671342404894%2C103.8536203163346
vinwonders-nam-hoi-an,VinWonders Nam Hội An,Hội An,NHAVW,vinwonders nam hoi an,VinWonders Nam Hội An,15.785995,108.407642,auto,trip.com:50961574,VinWonders Nam Hội An (trip.com),13.2,tự tìm qua trip.com; kiểm tra bằng mắt rồi đặt status=ok,33,https://www.google.com/maps/search/?api=1&query=15.785995%2C108.407642
vinpearl-golf-nam-hoi-an,Vinpearl Golf Nam Hội An,Hội An,,vinpearl golf nam hoi an,Vinpearl Golf Nam Hội An|Vin Pearl Golf,15.794018,108.412279,auto,osm:W1340528240,Vin Pearl Golf Course (leisure=golf_course),12.8,tự tìm qua OpenStreetMap; kiểm tra bằng mắt rồi đặt status=ok,1,https://www.google.com/maps/search/?api=1&query=15.794018%2C108.412279
