name,latitude,longitude,category,destination,description,products,priceFromVnd,available,starRating,url,imageUrl,locationSource,locationPrecision,warning,googleMapsUrl,placeKey
Vinpearl Hotel Bắc Ninh,21.168041,106.046335,Khách sạn 5★,Bắc Ninh,"6 hạng phòng · từ 3.690.000₫/đêm · Km 1+200, đường Trần Hưng Đạo, Quận Kinh Bắc, Tỉnh Bắc Ninh, Việt Nam",7,3690000,true,5,https://vinpearl.com/vi/hotels/vinpearl-hotel-bac-ninh,https://booking-static.vinpearl.com/hotels/766bc6a7c0dd45e1ac5f015e2f159763_lobby%2020240521.jpg,vinpearl,exact,,https://www.google.com/maps/search/?api=1&query=21.168041%2C106.046335,hotel:707194e9-97be-59a0-9398-4e90cea4e114
1995S Hostel,16.470028,107.595055,Khách sạn 5★,Huế,"khách sạn · từ 573.958₫/đêm · 16 Chu Văn An, Ph Hội, Thành phố Huế, Huế",1,573958,true,5,https://www.agoda.com/vi-vn/1995s-hostel/hotel/hue-vn.html,https://pix8.agoda.net/hotelImages/64861936/0/1127fd7bb1465bcb461882c7330dd485.jpg?va=1&ce=0&s=1024x768,agoda.com,exact,,https://www.google.com/maps/search/?api=1&query=16.470028%2C107.595055,hotel:8cd50659-3492-5a50-a70d-0d93427539f1
Amy 2 Hostel Hue,16.47024,107.596515,Khách sạn,Huế,"3 hạng phòng · từ 180.000₫/đêm · 10/26 Vo Thi Sau, Huế, Việt Nam",4,180000,true,,https://www.booking.com/hotel/vn/amy2hostel.vi.html,https://cf.bstatic.com/xdata/images/hotel/max1024x768/487665501.jpg?k=86d2a061087d25510159de1ca9f0149ffbca85eaf173fc44971ade3f0cd707b1&o=&hp=1,booking.com,exact,,https://www.google.com/maps/search/?api=1&query=16.470240%2C107.596515,hotel:880da97f-a68e-5c22-bc20-e0c22abdba40
Angsana Lang Co,16.339434,107.95446,Khách sạn 5★,Huế,"3 hạng phòng · từ 3.792.510₫/đêm · Canh Duong Village, Chan May - Lang Co Commune, Hue City, Huế, Việt Nam",4,3792510,true,5,https://www.booking.com/hotel/vn/angsana-lang-co.vi.html,https://cf.bstatic.com/xdata/images/hotel/max1024x768/157218914.jpg?k=6b3f3030eff5daa90f1336497c6bd3cc633f9f4693cccdc15f39105d40e15d3e&o=&hp=1,booking.com,exact,,https://www.google.com/maps/search/?api=1&query=16.339434%2C107.954460,hotel:e2fa8086-6d65-5af3-b1fe-07bc1284ea6f
Banyan Tree Lang Co,16.337995,107.95346,Khách sạn 5★,Huế,"3 hạng phòng · từ 10.540.434₫/đêm · Canh Duong Village, Chan May - Lang Co Commune, Hue City, Huế, Việt Nam",4,10540434,true,5,https://www.booking.com/hotel/vn/banyan-tree-lang-co.vi.html,https://cf.bstatic.com/xdata/images/hotel/max1024x768/650103459.jpg?k=cf600de2cbbd65609e222c8258df23b3e625307e080a8c4176ef5eacc6d67d32&o=&hp=1,booking.com,exact,,https://www.google.com/maps/search/?api=1&query=16.337995%2C107.953460,hotel:78b85e93-05f4-5b50-a072-876606eb6b06
Cherish Hue Hotel,16.465488,107.594749,Khách sạn 4★,Huế,"khách sạn · từ 1.071.429₫/đêm · 57 Bến Nghé, Thành phố Huế, Huế",1,1071429,true,4,https://www.agoda.com/vi-vn/cherish-hue-hotel/hotel/hue-vn.html,https://pix6.agoda.net/hotelImages/108/108217/108217_16052608290042731703.jpg?va=1&ca=6&ce=1&s=1024x768,agoda.com,exact,,https://www.google.com/maps/search/?api=1&query=16.465488%2C107.594749,hotel:a7ab2a29-406c-57c1-96ac-f56a906ee350
Collection O Queen Hotel Central Hue,16.474854,107.59523,Khách sạn 2★,Huế,"khách sạn · từ 685.064₫/đêm · 09 Nguyen Sinh Cung, Vy Da, Hue, Hue, Sông Hương, Huế",1,685064,true,2,https://www.agoda.com/vi-vn/queens-motel/hotel/hue-vn.html,https://pix8.agoda.net/hotelImages/94914026/0/46fa543dc41f328c6757a43545ac4ac0.jpeg?va=1&ce=3&s=1024x768,agoda.com,exact,,https://www.google.com/maps/search/?api=1&query=16.474854%2C107.595230,hotel:217922e3-e70d-5f05-9bfa-9507e8c67c94
CONIHOUSE - Homestay & Villa,16.483337,107.613144,Khách sạn 5★,Huế,"khách sạn · từ 413.603₫/đêm · Th nh Phố Huế, Thành phố Huế, Huế",1,413603,true,5,https://www.agoda.com/vi-vn/conihouse-homestay-villa/hotel/hue-vn.html,https://pix8.agoda.net/hotelImages/67098247/0/4b6082648a973153d310c0204acf8c56.jpg?va=1&ce=2&s=1024x768,agoda.com,exact,,https://www.google.com/maps/search/?api=1&query=16.483337%2C107.613144,hotel:3c66729f-a2d5-5047-a0fc-84f40804cd9c
Eldora Hotel,16.46483,107.594465,Khách sạn 4.5★,Huế,"khách sạn · từ 1.388.889₫/đêm · 60 Ben Nghe, Thành phố Huế, Huế",1,1388889,true,4.5,https://www.agoda.com/vi-vn/eldora-hotel/hotel/hue-vn.html,https://pix6.agoda.net/hotelImages/569/569020/569020_15061915190030043115.jpg?va=1&ca=4&ce=1&s=1024x768,agoda.com,exact,,https://www.google.com/maps/search/?api=1&query=16.464830%2C107.594465,hotel:1803ca73-5cd3-532a-b30f-138dd3b9888d
EMM Hotel Hue,16.463029,107.59089,Khách sạn,Huế,"khách sạn · từ 1.042.769₫/đêm · 15 Ly Thuong Kiet, Thành phố Huế, Huế",1,1042769,true,,https://www.agoda.com/vi-vn/emm-hotel-hue_2/hotel/hue-vn.html,https://pix6.agoda.net/hotelImages/1409886/-1/f1196e2f57e8e0014c11246a7786ab3e.jpg?va=1&ce=0&s=1024x768,agoda.com,exact,,https://www.google.com/maps/search/?api=1&query=16.463029%2C107.590890,hotel:f2da0f67-373e-57a3-aeae-ebbd0194768c
