kind,name,destination,latitude,longitude,problem,googleMapsUrl,howToFix,ref
địa điểm Vinpearl chưa có toạ độ dùng được,Vinpearl Harbour Nha Trang,Nha Trang,12.224533,109.239683,chưa đạt kiểm tra: kết quả 'Vinpearl Resort Nha Trang' thiếu từ: harbour,https://www.google.com/maps/search/?api=1&query=12.224533%2C109.239683,"collectors/venues.csv: điền latitude, longitude đúng, source=manual, status=ok",vinpearl-harbour
địa điểm Vinpearl chưa có toạ độ dùng được,Vinpearl Golf Phú Quốc,Phú Quốc,10.358043,103.849521,chưa đạt kiểm tra: kết quả 'Meliá Vinpearl Phu Quoc' thiếu từ: golf,https://www.google.com/maps/search/?api=1&query=10.358043%2C103.849521,"collectors/venues.csv: điền latitude, longitude đúng, source=manual, status=ok",vinpearl-golf-phu-quoc
địa điểm Vinpearl chưa có toạ độ dùng được,Công viên nước Hà Tĩnh,Hà Tĩnh,18.34276,105.898628,chưa đạt kiểm tra: kết quả 'Công Viên' thiếu từ: nuoc,https://www.google.com/maps/search/?api=1&query=18.342760%2C105.898628,"collectors/venues.csv: điền latitude, longitude đúng, source=manual, status=ok",cong-vien-nuoc-ha-tinh
địa điểm Vinpearl chưa có toạ độ dùng được,VinWonders Wave Park & Water Park,Hà Nội,20.956466,105.976548,chưa đạt kiểm tra: kết quả 'VinWonders Olympic Swimming Pool_Bể bơi' thiếu từ: wave,https://www.google.com/maps/search/?api=1&query=20.956466%2C105.976548,"collectors/venues.csv: điền latitude, longitude đúng, source=manual, status=ok",vinwonders-wave-park
địa điểm Vinpearl chưa có toạ độ dùng được,"Show ""Đất nước thiên hùng ca""",Hà Nội,20.956801,105.97742,chưa đạt kiểm tra: kết quả 'Điểm Vui Chơi Cầu Trượt Nước' thiếu từ: ca dat,https://www.google.com/maps/search/?api=1&query=20.956801%2C105.977420,"collectors/venues.csv: điền latitude, longitude đúng, source=manual, status=ok",show-dat-nuoc-thien-hung-ca
địa điểm Vinpearl chưa có toạ độ dùng được,Vinpearl Golf Léman,TP. Hồ Chí Minh,,,không tìm thấy trên trip.com / OpenStreetMap với: Vinpearl Golf Léman | Léman Golf,,"collectors/venues.csv: điền latitude, longitude đúng, source=manual, status=ok",vinpearl-golf-leman
toạ độ bị cảnh báo,Meliá Vinpearl Phu Ly,Ninh Bình,20.543499,105.916968,cách tâm Ninh Bình 32 km,https://www.google.com/maps/search/?api=1&query=20.543499%2C105.916968,"collectors/location_overrides.csv: thêm dòng sourceRef, latitude, longitude, note",booking:hotel:4139520
toạ độ bị cảnh báo,Serena Xuân Thành Hotel,Hà Tĩnh,18.637409,105.806372,cách tâm Hà Tĩnh 35 km,https://www.google.com/maps/search/?api=1&query=18.637409%2C105.806372,"collectors/location_overrides.csv: thêm dòng sourceRef, latitude, longitude, note",booking:hotel:16189611
toạ độ bị cảnh báo,Songlam Waterfront Hotel - 藍江酒店,Hà Tĩnh,18.643377,105.711129,cách tâm Hà Tĩnh 40 km,https://www.google.com/maps/search/?api=1&query=18.643377%2C105.711129,"collectors/location_overrides.csv: thêm dòng sourceRef, latitude, longitude, note",booking:hotel:8006308
toạ độ bị cảnh báo,Khách Sạn Xanh Hà Tĩnh,Hà Tĩnh,18.381956,105.507573,cách tâm Hà Tĩnh 42 km,https://www.google.com/maps/search/?api=1&query=18.381956%2C105.507573,"collectors/location_overrides.csv: thêm dòng sourceRef, latitude, longitude, note",booking:hotel:15778272
