kind,name,destination,latitude,longitude,problem,googleMapsUrl,howToFix,ref
toạ độ bị cảnh báo,Meliá Vinpearl Phu Ly,Ninh Bình,20.543499,105.916968,cách tâm Ninh Bình 32 km,https://www.google.com/maps/search/?api=1&query=20.543499%2C105.916968,"collectors/location_overrides.csv: thêm dòng sourceRef, latitude, longitude, note",booking:hotel:4139520
toạ độ bị cảnh báo,Serena Xuân Thành Hotel,Hà Tĩnh,18.637409,105.806372,cách tâm Hà Tĩnh 35 km,https://www.google.com/maps/search/?api=1&query=18.637409%2C105.806372,"collectors/location_overrides.csv: thêm dòng sourceRef, latitude, longitude, note",booking:hotel:16189611
toạ độ bị cảnh báo,Songlam Waterfront Hotel - 藍江酒店,Hà Tĩnh,18.643377,105.711129,cách tâm Hà Tĩnh 40 km,https://www.google.com/maps/search/?api=1&query=18.643377%2C105.711129,"collectors/location_overrides.csv: thêm dòng sourceRef, latitude, longitude, note",booking:hotel:8006308
toạ độ bị cảnh báo,Khách Sạn Xanh Hà Tĩnh,Hà Tĩnh,18.381956,105.507573,cách tâm Hà Tĩnh 42 km,https://www.google.com/maps/search/?api=1&query=18.381956%2C105.507573,"collectors/location_overrides.csv: thêm dòng sourceRef, latitude, longitude, note",booking:hotel:15778272
toạ độ bị cảnh báo,Hoa Tien Paradise Villa,Hà Tĩnh,18.624256,105.813797,cách tâm Hà Tĩnh 34 km,https://www.google.com/maps/search/?api=1&query=18.624256%2C105.813797,"collectors/location_overrides.csv: thêm dòng sourceRef, latitude, longitude, note",booking:hotel:8810409
toạ độ bị cảnh báo,Khách sạn Mường Thanh Grand Hà Tĩnh (Muong Thanh Grand Ha Tinh Hotel),Hà Tĩnh,18.057621,106.348244,cách tâm Hà Tĩnh 56 km,https://www.google.com/maps/search/?api=1&query=18.057621%2C106.348244,"collectors/location_overrides.csv: thêm dòng sourceRef, latitude, longitude, note",agoda:hotel:muong-thanh-grand-ha-tinh-hotel:ha-tinh
toạ độ bị cảnh báo,Khách sạn Mường Thanh Luxury Xuân Thành (Muong Thanh Luxury Xuan Thanh Hotel),Hà Tĩnh,18.630156,105.811562,cách tâm Hà Tĩnh 34 km,https://www.google.com/maps/search/?api=1&query=18.630156%2C105.811562,"collectors/location_overrides.csv: thêm dòng sourceRef, latitude, longitude, note",agoda:hotel:muong-thanh-luxury-xuan-thanh-hotel:cua-lo-beach
toạ độ bị cảnh báo,Khách sạn Polaris (Polaris Hotel),Hà Tĩnh,18.043734,106.37365,cách tâm Hà Tĩnh 59 km,https://www.google.com/maps/search/?api=1&query=18.043734%2C106.373650,"collectors/location_overrides.csv: thêm dòng sourceRef, latitude, longitude, note",agoda:hotel:polaris-hotel:ha-tinh
toạ độ bị cảnh báo,Hải Vân Quan,Huế,16.187738,108.131294,cách tâm Huế 66 km,https://www.google.com/maps/search/?api=1&query=16.187738%2C108.131294,"collectors/location_overrides.csv: thêm dòng sourceRef, latitude, longitude, note",trip:attraction:137069029
toạ độ bị cảnh báo,Đèo Hải Vân,Huế,16.2,108.133333,cách tâm Huế 65 km,https://www.google.com/maps/search/?api=1&query=16.200000%2C108.133333,"collectors/location_overrides.csv: thêm dòng sourceRef, latitude, longitude, note",trip:attraction:96727
toạ độ bị cảnh báo,Khu Lưu niệm Đại thi hào Nguyễn Du,Hà Tĩnh,18.664999,105.76681,cách tâm Hà Tĩnh 39 km,https://www.google.com/maps/search/?api=1&query=18.664999%2C105.766810,"collectors/location_overrides.csv: thêm dòng sourceRef, latitude, longitude, note",trip:attraction:142729334
