name,latitude,longitude,category,destination,description,products,priceFromVnd,available,starRating,url,imageUrl,locationSource,locationPrecision,warning,googleMapsUrl,placeKey
Sân bay quốc tế Phú Bài,16.400581,107.704094,Sân bay,Huế,"3 tuyến bay đến · từ Hà Nội, Phú Quốc, TP. Hồ Chí Minh · vé một chiều từ 643.000₫",14,643000,true,,https://vn.trip.com/flights/phu-quoc-island-to-hue/airfares-pqc-hui/,,ourairports,airport,,https://www.google.com/maps/search/?api=1&query=16.400581%2C107.704094,airport:san bay quoc te phu bai
Sân bay quốc tế Nội Bài,21.221201,105.806999,Sân bay,Hà Nội,"8 tuyến bay đến · từ Huế, Nghệ An, Nha Trang, Phú Quốc, Quy Nhơn, TP. Hồ Chí Minh, Đà Lạt, Đà Nẵng · vé một chiều từ 419.000₫",33,419000,true,,https://vn.trip.com/flights/nha-trang-to-hanoi/airfares-nha-han/,,ourairports,airport,,https://www.google.com/maps/search/?api=1&query=21.221201%2C105.806999,airport:san bay quoc te noi bai
Sân bay quốc tế Cát Bi,20.817428,106.724315,Sân bay,Hải Phòng,"5 tuyến bay đến · từ Nha Trang, Phú Quốc, TP. Hồ Chí Minh, Đà Lạt, Đà Nẵng · vé một chiều từ 454.000₫",16,454000,true,,https://vn.trip.com/flights/nha-trang-to-haiphong/airfares-nha-hph/,,ourairports,airport,,https://www.google.com/maps/search/?api=1&query=20.817428%2C106.724315,airport:san bay quoc te cat bi
Sân bay Vinh,18.7376,105.670998,Sân bay,Nghệ An,"5 tuyến bay đến · từ Hà Nội, Nha Trang, Phú Quốc, TP. Hồ Chí Minh, Đà Lạt · vé một chiều từ 903.000₫",17,903000,true,,https://vn.trip.com/flights/nha-trang-to-vinh-city/airfares-nha-vii/,,ourairports,airport,,https://www.google.com/maps/search/?api=1&query=18.737600%2C105.670998,airport:san bay vinh
Sân bay quốc tế Cam Ranh,11.9982,109.219002,Sân bay,Nha Trang,"7 tuyến bay đến · từ Hà Nội, Hải Phòng, Nghệ An, Phú Quốc, TP. Hồ Chí Minh, Đà Lạt, Đà Nẵng · vé một chiều từ 639.000₫",23,639000,true,,https://vn.trip.com/flights/phu-quoc-island-to-nha-trang/airfares-pqc-nha/,,ourairports,airport,,https://www.google.com/maps/search/?api=1&query=11.998200%2C109.219002,airport:san bay quoc te cam ranh
Sân bay quốc tế Phú Quốc,10.169783,103.99353,Sân bay,Phú Quốc,"8 tuyến bay đến · từ Huế, Hà Nội, Hải Phòng, Nghệ An, Nha Trang, TP. Hồ Chí Minh, Đà Lạt, Đà Nẵng · vé một chiều từ 376.000₫",37,376000,true,,https://vn.trip.com/flights/nha-trang-to-phu-quoc-island/airfares-nha-pqc/,,ourairports,airport,,https://www.google.com/maps/search/?api=1&query=10.169783%2C103.993530,airport:san bay quoc te phu quoc
Sân bay Phù Cát,13.955,109.042,Sân bay,Quy Nhơn,"3 tuyến bay đến · từ Hà Nội, TP. Hồ Chí Minh, Đà Nẵng · vé một chiều từ 678.000₫",12,678000,true,,https://vn.trip.com/flights/da-nang-to-quy-nhon/airfares-dad-uih/,,ourairports,airport,,https://www.google.com/maps/search/?api=1&query=13.955000%2C109.042000,airport:san bay phu cat
Sân bay quốc tế Tân Sơn Nhất,10.8188,106.652,Sân bay,TP. Hồ Chí Minh,"9 tuyến bay đến · từ Huế, Hà Nội, Hải Phòng, Nghệ An, Nha Trang, Phú Quốc, Quy Nhơn, Đà Lạt, Đà Nẵng · vé một chiều từ 519.000₫",42,519000,true,,https://vn.trip.com/flights/nha-trang-to-ho-chi-minh-city/airfares-nha-sgn/,,ourairports,airport,,https://www.google.com/maps/search/?api=1&query=10.818800%2C106.652000,airport:san bay quoc te tan son nhat
Sân bay Liên Khương,11.750556,108.366997,Sân bay,Đà Lạt,"5 tuyến bay đến · từ Hà Nội, Hải Phòng, Nghệ An, Phú Quốc, Đà Nẵng · vé một chiều từ 810.000₫",16,810000,true,,https://vn.trip.com/flights/phu-quoc-island-to-dalat/airfares-pqc-dli/,,ourairports,airport,,https://www.google.com/maps/search/?api=1&query=11.750556%2C108.366997,airport:san bay lien khuong
Sân bay quốc tế Đà Nẵng,16.0439,108.198997,Sân bay,Đà Nẵng,"7 tuyến bay đến · từ Hà Nội, Hải Phòng, Nghệ An, Nha Trang, Phú Quốc, TP. Hồ Chí Minh, Đà Lạt · vé một chiều từ 399.000₫",34,399000,true,,https://vn.trip.com/flights/nha-trang-to-da-nang/airfares-nha-dad/,,ourairports,airport,,https://www.google.com/maps/search/?api=1&query=16.043900%2C108.198997,airport:san bay quoc te da nang
