issues,name,taxonomy,level,destination,sourceRef,url,descriptionLang,unitPrice,latitude,longitude
cách tâm Ninh Bình 32 km,Meliá Vinpearl Phu Ly,hotel,property,Ninh Bình,booking:hotel:4139520,https://www.booking.com/hotel/vn/melia-vinpearl-phu-ly.vi.html,vi,1224720,20.543498836270945,105.91696844047544
không có ảnh: dùng logo hãng bay,Vé máy bay Nha Trang - TP. Hồ Chí Minh,flight,route,TP. Hồ Chí Minh,trip:route:nha-sgn,https://vn.trip.com/flights/nha-trang-to-ho-chi-minh-city/airfares-nha-sgn/,vi,519000,10.8188,106.652
không có ảnh: dùng logo hãng bay,Vé máy bay Nha Trang - Hà Nội,flight,route,Hà Nội,trip:route:nha-han,https://vn.trip.com/flights/nha-trang-to-hanoi/airfares-nha-han/,vi,678000,21.221201,105.806999
không có ảnh: dùng logo hãng bay,Vé máy bay Nha Trang - Đà Nẵng,flight,route,Đà Nẵng,trip:route:nha-dad,https://vn.trip.com/flights/nha-trang-to-da-nang/airfares-nha-dad/,vi,682000,16.0439,108.198997
không có ảnh: dùng logo hãng bay,Vé máy bay Nha Trang - Phú Quốc,flight,route,Phú Quốc,trip:route:nha-pqc,https://vn.trip.com/flights/nha-trang-to-phu-quoc-island/airfares-nha-pqc/,vi,663000,10.169783,103.99353
không có ảnh: dùng logo hãng bay,Vé máy bay Nha Trang - Hải Phòng,flight,route,Hải Phòng,trip:route:nha-hph,https://vn.trip.com/flights/nha-trang-to-haiphong/airfares-nha-hph/,vi,1023000,20.817428,106.724315
không có ảnh: dùng logo hãng bay,Vé máy bay Nha Trang - Nghệ An,flight,route,Nghệ An,trip:route:nha-vii,https://vn.trip.com/flights/nha-trang-to-vinh-city/airfares-nha-vii/,vi,1518000,18.7376003265,105.67099762
không có ảnh: dùng logo hãng bay,Vé máy bay Phú Quốc - TP. Hồ Chí Minh,flight,route,TP. Hồ Chí Minh,trip:route:pqc-sgn,https://vn.trip.com/flights/phu-quoc-island-to-ho-chi-minh-city/airfares-pqc-sgn/,vi,589000,10.8188,106.652
không có ảnh: dùng logo hãng bay,Vé máy bay Phú Quốc - Đà Nẵng,flight,route,Đà Nẵng,trip:route:pqc-dad,https://vn.trip.com/flights/phu-quoc-island-to-da-nang/airfares-pqc-dad/,vi,457000,16.0439,108.198997
không có ảnh: dùng logo hãng bay,Vé máy bay Phú Quốc - Hà Nội,flight,route,Hà Nội,trip:route:pqc-han,https://vn.trip.com/flights/phu-quoc-island-to-hanoi/airfares-pqc-han/,vi,632000,21.221201,105.806999
không có ảnh: dùng logo hãng bay,Vé máy bay Phú Quốc - Nha Trang,flight,route,Nha Trang,trip:route:pqc-nha,https://vn.trip.com/flights/phu-quoc-island-to-nha-trang/airfares-pqc-nha/,vi,659000,11.9982,109.219002
không có ảnh: dùng logo hãng bay,Vé máy bay Phú Quốc - Hải Phòng,flight,route,Hải Phòng,trip:route:pqc-hph,https://vn.trip.com/flights/phu-quoc-island-to-haiphong/airfares-pqc-hph/,vi,454000,20.817428,106.724315
không có ảnh: dùng logo hãng bay,Vé máy bay Phú Quốc - Đà Lạt,flight,route,Đà Lạt,trip:route:pqc-dli,https://vn.trip.com/flights/phu-quoc-island-to-dalat/airfares-pqc-dli/,vi,1216000,11.750556,108.366997
không có ảnh: dùng logo hãng bay,Vé máy bay Phú Quốc - Nghệ An,flight,route,Nghệ An,trip:route:pqc-vii,https://vn.trip.com/flights/phu-quoc-island-to-vinh-city/airfares-pqc-vii/,vi,1511000,18.7376003265,105.67099762
không có ảnh: dùng logo hãng bay,Vé máy bay Phú Quốc - Huế,flight,route,Huế,trip:route:pqc-hui,https://vn.trip.com/flights/phu-quoc-island-to-hue/airfares-pqc-hui/,vi,1371000,16.400581,107.704094
không có ảnh: dùng logo hãng bay,Vé máy bay Đà Nẵng - TP. Hồ Chí Minh,flight,route,TP. Hồ Chí Minh,trip:route:dad-sgn,https://vn.trip.com/flights/da-nang-to-ho-chi-minh-city/airfares-dad-sgn/,vi,519000,10.8188,106.652
